vendor_action,action
Accepted,success
Authorized,success
Disconnecting,failure
Failed,failure
Invalid user,failure
Received disconnect,success
Postponed,unknown
closed,success
failed,failure
failure,failure
fails,failure
failures,failure
invalid user,failure
opened,success
success,success
succeeds,success
